"sku","product_name","description","mfg_part_no","manufacturer","category","base_price","retail_price","quantity","status"
"","PowerEdge PowerEdge R350 / 210-BBOU","PowerEdge R350 / 210-BBOU","PowerEdge R350 / 210-BBOU","Dell","Servers & Storage","3yr ProSupport","3yr ProSupport","0","active"
"","PowerEdge PowerEdge R650 / 210-AZKL","PowerEdge R650 / 210-AZKL","PowerEdge R650 / 210-AZKL","Dell","Servers & Storage","3yr ProSupport","3yr ProSupport","0","active"
"","ProLiant DL20 Gen10 Plus / P44112-B21","DL20 Gen10 Plus / P44112-B21","DL20 Gen10 Plus / P44112-B21","HPE","Servers & Storage","3yr NBD","3yr NBD","0","active"
"","ProLiant DL360 Gen10 Plus / P55241-B21","DL360 Gen10 Plus / P55241-B21","DL360 Gen10 Plus / P55241-B21","HPE","Servers & Storage","3yr NBD","3yr NBD","0","active"
"","ThinkSystem SR250 V2 / 7D7QA02WNA","SR250 V2 / 7D7QA02WNA","SR250 V2 / 7D7QA02WNA","Lenovo","Servers & Storage","3yr Onsite","3yr Onsite","0","active"
"","NAS System.Xml.XmlElement","System.Xml.XmlElement","System.Xml.XmlElement","Synology","Servers & Storage","3yr","3yr","0","active"
"","NAS System.Xml.XmlElement","System.Xml.XmlElement","System.Xml.XmlElement","Synology","Servers & Storage","3yr","3yr","0","active"
"","UltraSharp U2422H / DELL-U2422H","U2422H / DELL-U2422H","U2422H / DELL-U2422H","Dell","Monitors & Displays","3yr","3yr","0","active"
"","UltraSharp U2722D / DELL-U2722D","U2722D / DELL-U2722D","U2722D / DELL-U2722D","Dell","Monitors & Displays","3yr","3yr","0","active"
"","UltraSharp U3423WE / DELL-U3423WE","U3423WE / DELL-U3423WE","U3423WE / DELL-U3423WE","Dell","Monitors & Displays","3yr","3yr","0","active"
"","E-Series E24 G5 / 1C4Z2AA","E24 G5 / 1C4Z2AA","E24 G5 / 1C4Z2AA","HP","Monitors & Displays","3yr","3yr","0","active"
"","E-Series E27 G5 / 1C4Z7AA","E27 G5 / 1C4Z7AA","E27 G5 / 1C4Z7AA","HP","Monitors & Displays","3yr","3yr","0","active"
"","Business 27BQ75QB-B","27BQ75QB-B","27BQ75QB-B","LG","Monitors & Displays","3yr","3yr","0","active"
"","Business S27A600NWN","S27A600NWN","S27A600NWN","Samsung","Monitors & Displays","3yr","3yr","0","active"
"","UltraSharp U2724D / DELL-U2724D","U2724D / DELL-U2724D","U2724D / DELL-U2724D","Dell","Monitors & Displays","3yr","3yr","0","active"
"","Latitude Latitude 5540 / 210-BFCL","Latitude 5540 / 210-BFCL","Latitude 5540 / 210-BFCL","Dell","Laptops & Notebooks","USB-C x2, USB-A x2, HDMI","USB-C x2, USB-A x2, HDMI","0","active"
"","Latitude Latitude 5540 / 210-BFCM","Latitude 5540 / 210-BFCM","Latitude 5540 / 210-BFCM","Dell","Laptops & Notebooks","USB-C x2, USB-A x2, HDMI","USB-C x2, USB-A x2, HDMI","0","active"
"","Latitude Latitude 7440 / 210-BFHZ","Latitude 7440 / 210-BFHZ","Latitude 7440 / 210-BFHZ","Dell","Laptops & Notebooks","Thunderbolt 4 x2","Thunderbolt 4 x2","0","active"
"","EliteBook EliteBook 840 G10 / 81A14UT","EliteBook 840 G10 / 81A14UT","EliteBook 840 G10 / 81A14UT","HP","Laptops & Notebooks","USB-C x2, USB-A x2","USB-C x2, USB-A x2","0","active"
"","EliteBook EliteBook 840 G10 / 819Y9UT","EliteBook 840 G10 / 819Y9UT","EliteBook 840 G10 / 819Y9UT","HP","Laptops & Notebooks","USB-C x2, USB-A x2","USB-C x2, USB-A x2","0","active"
"","EliteBook EliteBook 860 G10 / 81A20UT","EliteBook 860 G10 / 81A20UT","EliteBook 860 G10 / 81A20UT","HP","Laptops & Notebooks","Thunderbolt 4 x2","Thunderbolt 4 x2","0","active"
"","ThinkPad ThinkPad E14 Gen 5 / 21JK0001US","ThinkPad E14 Gen 5 / 21JK0001US","ThinkPad E14 Gen 5 / 21JK0001US","Lenovo","Laptops & Notebooks","USB-C x2, USB-A x2","USB-C x2, USB-A x2","0","active"
"","ThinkPad ThinkPad L14 Gen 4 / 21H1001BUS","ThinkPad L14 Gen 4 / 21H1001BUS","ThinkPad L14 Gen 4 / 21H1001BUS","Lenovo","Laptops & Notebooks","USB-C x2, USB-A x2, HDMI","USB-C x2, USB-A x2, HDMI","0","active"
"","ThinkPad ThinkPad X1 Carbon Gen 11 / 21HM006JUS","ThinkPad X1 Carbon Gen 11 / 21HM006JUS","ThinkPad X1 Carbon Gen 11 / 21HM006JUS","Lenovo","Laptops & Notebooks","Thunderbolt 4 x2","Thunderbolt 4 x2","0","active"
"","MacBook Pro MacBook Pro 14"" / MXK43LL/A","MacBook Pro 14"" / MXK43LL/A","MacBook Pro 14"" / MXK43LL/A","Apple","Laptops & Notebooks","Thunderbolt 4 x3, HDMI","Thunderbolt 4 x3, HDMI","0","active"
"","MacBook Air MacBook Air 13"" / MXCR3LL/A","MacBook Air 13"" / MXCR3LL/A","MacBook Air 13"" / MXCR3LL/A","Apple","Laptops & Notebooks","Thunderbolt 4 x2, USB-A","Thunderbolt 4 x2, USB-A","0","active"
"","Precision Precision 3581 / 210-BFDO","Precision 3581 / 210-BFDO","Precision 3581 / 210-BFDO","Dell","Laptops & Notebooks","Thunderbolt 4, HDMI","Thunderbolt 4, HDMI","0","active"
"","UPS BX1500M","BX1500M","BX1500M","APC","Power & UPS","$180–$220","$180–$220","0","active"
"","UPS SMT1500RM2UC","SMT1500RM2UC","SMT1500RM2UC","APC","Power & UPS","$550–$700","$550–$700","0","active"
"","UPS SMX3000RMHV2U","SMX3000RMHV2U","SMX3000RMHV2U","APC","Power & UPS","$1,200–$1,500","$1,200–$1,500","0","active"
"","UPS CP1500PFCLCD","CP1500PFCLCD","CP1500PFCLCD","CyberPower","Power & UPS","$180–$220","$180–$220","0","active"
"","UPS OL2200RTXL2U","OL2200RTXL2U","OL2200RTXL2U","CyberPower","Power & UPS","$800–$1,000","$800–$1,000","0","active"
"","UPS 5P1500R","5P1500R","5P1500R","Eaton","Power & UPS","$450–$600","$450–$600","0","active"
"","PDU PDUMH20","PDUMH20","PDUMH20","Tripp Lite","Power & UPS","$100–$130","$100–$130","0","active"
"","Camera Studio E70 / 7230-87160-001","Studio E70 / 7230-87160-001","Studio E70 / 7230-87160-001","Poly","Video Conferencing","","","0","active"
"","Video Bar Rally Bar Mini / 960-001339","Rally Bar Mini / 960-001339","Rally Bar Mini / 960-001339","Logitech","Video Conferencing","","","0","active"
"","Video Bar Rally Bar / 960-001308","Rally Bar / 960-001308","Rally Bar / 960-001308","Logitech","Video Conferencing","","","0","active"
"","Video Bar MeetingBar A20 / MeetingBar-A20","MeetingBar A20 / MeetingBar-A20","MeetingBar A20 / MeetingBar-A20","Yealink","Video Conferencing","","","0","active"
"","Speakerphone PanaCast 50 + Speak2 75","PanaCast 50 + Speak2 75","PanaCast 50 + Speak2 75","Jabra","Video Conferencing","","","0","active"
"","Speakerphone Speak2 55 UC / 7700-309","Speak2 55 UC / 7700-309","Speak2 55 UC / 7700-309","Jabra","Video Conferencing","","","0","active"
"","Codec Room Kit Mini / CS-KITMINII-K9","Room Kit Mini / CS-KITMINII-K9","Room Kit Mini / CS-KITMINII-K9","Cisco","Video Conferencing","","","0","active"
"","iPad iPad 10th Gen Wi-Fi / MPQA3LL/A","iPad 10th Gen Wi-Fi / MPQA3LL/A","iPad 10th Gen Wi-Fi / MPQA3LL/A","Apple","Mobile & Tablets","1yr","1yr","0","active"
"","iPad iPad Pro 11"" M4 / MXDG3LL/A","iPad Pro 11"" M4 / MXDG3LL/A","iPad Pro 11"" M4 / MXDG3LL/A","Apple","Mobile & Tablets","1yr","1yr","0","active"
"","Galaxy Tab Galaxy Tab S9 FE / SM-X510NZAAXAR","Galaxy Tab S9 FE / SM-X510NZAAXAR","Galaxy Tab S9 FE / SM-X510NZAAXAR","Samsung","Mobile & Tablets","1yr","1yr","0","active"
"","Galaxy Tab Galaxy Tab Active5 / SM-X306BZAAXAR","Galaxy Tab Active5 / SM-X306BZAAXAR","Galaxy Tab Active5 / SM-X306BZAAXAR","Samsung","Mobile & Tablets","1yr","1yr","0","active"
"","Rugged Tablet ET45 / ET45BA-101B1B0A0NA","ET45 / ET45BA-101B1B0A0NA","ET45 / ET45BA-101B1B0A0NA","Zebra","Mobile & Tablets","3yr","3yr","0","active"
"","Toughbook FZ-G2 / FZ-G2AZ001VM","FZ-G2 / FZ-G2AZ001VM","FZ-G2 / FZ-G2AZ001VM","Panasonic","Mobile & Tablets","3yr","3yr","0","active"
"","Tab Tab M10 Plus Gen 3 / ZAAN0183US","Tab M10 Plus Gen 3 / ZAAN0183US","Tab M10 Plus Gen 3 / ZAAN0183US","Lenovo","Mobile & Tablets","1yr","1yr","0","active"
"","Keyboard MX Keys for Business / 920-010903","MX Keys for Business / 920-010903","MX Keys for Business / 920-010903","Logitech","Peripherals","","","0","active"
"","Keyboard K120 / 920-002478","K120 / 920-002478","K120 / 920-002478","Logitech","Peripherals","","","0","active"
"","Mouse MX Master 3S for Business / 910-006582","MX Master 3S for Business / 910-006582","MX Master 3S for Business / 910-006582","Logitech","Peripherals","","","0","active"
"","Mouse M100 / 910-006652","M100 / 910-006652","M100 / 910-006652","Logitech","Peripherals","","","0","active"
"","Webcam C920s HD Pro / 960-001257","C920s HD Pro / 960-001257","C920s HD Pro / 960-001257","Logitech","Peripherals","","","0","active"
"","Keyboard Wired Desktop 600 / ANB-00001","Wired Desktop 600 / ANB-00001","Wired Desktop 600 / ANB-00001","Microsoft","Peripherals","","","0","active"
"","Headset Evolve2 40 SE / 26699-989-899","Evolve2 40 SE / 26699-989-899","Evolve2 40 SE / 26699-989-899","Jabra","Peripherals","","","0","active"
"","Headset Evolve2 75 / 27599-999-999","Evolve2 75 / 27599-999-999","Evolve2 75 / 27599-999-999","Jabra","Peripherals","","","0","active"
"","Headset Voyager Focus 2 UC / 85Z99AA","Voyager Focus 2 UC / 85Z99AA","Voyager Focus 2 UC / 85Z99AA","Poly","Peripherals","","","0","active"
"","Ergonomic Pro Fit Ergo Full-Size Wireless / K75401US","Pro Fit Ergo Full-Size Wireless / K75401US","Pro Fit Ergo Full-Size Wireless / K75401US","Kensington","Peripherals","","","0","active"
"","Lock K64431WW ClickSafe 2.0","K64431WW ClickSafe 2.0","K64431WW ClickSafe 2.0","Kensington","Security Hardware","","","0","active"
"","Lock K68100AM MiniSaver","K68100AM MiniSaver","K68100AM MiniSaver","Kensington","Security Hardware","","","0","active"
"","Security Key 5 NFC / 5060408461426","5 NFC / 5060408461426","5 NFC / 5060408461426","YubiKey","Security Hardware","","","0","active"
"","Security Key 5C NFC / 5060408461440","5C NFC / 5060408461440","5C NFC / 5060408461440","YubiKey","Security Hardware","","","0","active"
"","Smart Card Reader OMNIKEY 3121 / R31210315-1","OMNIKEY 3121 / R31210315-1","OMNIKEY 3121 / R31210315-1","HID","Security Hardware","","","0","active"
"","Badge Reader multiCLASS SE RP40 / 900NTNNEK20000","multiCLASS SE RP40 / 900NTNNEK20000","multiCLASS SE RP40 / 900NTNNEK20000","HID","Security Hardware","","","0","active"
"","Smart Card Reader SCR3310v2.0 / 905430-1","SCR3310v2.0 / 905430-1","SCR3310v2.0 / 905430-1","Identiv","Security Hardware","","","0","active"
"","OptiPlex OptiPlex 3000 SFF / 210-BDYD","OptiPlex 3000 SFF / 210-BDYD","OptiPlex 3000 SFF / 210-BDYD","Dell","Desktops & Workstations","USB-A x6, DP, HDMI","USB-A x6, DP, HDMI","0","active"
"","OptiPlex OptiPlex 5000 SFF / 210-BDYH","OptiPlex 5000 SFF / 210-BDYH","OptiPlex 5000 SFF / 210-BDYH","Dell","Desktops & Workstations","USB-A x8, DP x2","USB-A x8, DP x2","0","active"
"","OptiPlex OptiPlex 7000 Tower / 210-BDYP","OptiPlex 7000 Tower / 210-BDYP","OptiPlex 7000 Tower / 210-BDYP","Dell","Desktops & Workstations","USB-A x8, DP x2, HDMI","USB-A x8, DP x2, HDMI","0","active"
"","EliteDesk EliteDesk 800 G9 SFF / 6B2N3UT","EliteDesk 800 G9 SFF / 6B2N3UT","EliteDesk 800 G9 SFF / 6B2N3UT","HP","Desktops & Workstations","USB-A x6, DP x2","USB-A x6, DP x2","0","active"
"","EliteDesk EliteDesk 800 G9 Tower / 6B2P0UT","EliteDesk 800 G9 Tower / 6B2P0UT","EliteDesk 800 G9 Tower / 6B2P0UT","HP","Desktops & Workstations","USB-A x8, DP x2","USB-A x8, DP x2","0","active"
"","ThinkCentre ThinkCentre M70s Gen 3 / 11T8001VUS","ThinkCentre M70s Gen 3 / 11T8001VUS","ThinkCentre M70s Gen 3 / 11T8001VUS","Lenovo","Desktops & Workstations","USB-A x8, DP, HDMI","USB-A x8, DP, HDMI","0","active"
"","ThinkCentre ThinkCentre M80t Gen 3 / 11TA001MUS","ThinkCentre M80t Gen 3 / 11TA001MUS","ThinkCentre M80t Gen 3 / 11TA001MUS","Lenovo","Desktops & Workstations","USB-A x8, DP x2, HDMI","USB-A x8, DP x2, HDMI","0","active"
"","Mac Mini Mac Mini / MMFK3LL/A","Mac Mini / MMFK3LL/A","Mac Mini / MMFK3LL/A","Apple","Desktops & Workstations","Thunderbolt 4 x3, USB-A x2, HDMI","Thunderbolt 4 x3, USB-A x2, HDMI","0","active"
"","Precision Precision 3660 Tower / 210-BCUH","Precision 3660 Tower / 210-BCUH","Precision 3660 Tower / 210-BCUH","Dell","Desktops & Workstations","Thunderbolt 4, USB-A x8","Thunderbolt 4, USB-A x8","0","active"
"","Z2 Tower Z2 Tower G9 / 7D1P7UT","Z2 Tower G9 / 7D1P7UT","Z2 Tower G9 / 7D1P7UT","HP","Desktops & Workstations","USB-A x10, Thunderbolt 4","USB-A x10, Thunderbolt 4","0","active"
