sku,mfg_part_no,product_name,brand,category,base_price
8067246,OMNIVS1000D,Tripp Lite UPS OMNIVS1000D,Tripp Lite,Power,129.0
8834001,SMART1500LCD,Tripp Lite UPS SMART1500LCD,Tripp Lite,Power,179.0
8834002,SMART1500RM2U,Tripp Lite UPS SMART1500RM2U,Tripp Lite,Power,499.0
8019924,OMNIVS1500XL,Tripp Lite UPS OMNIVS1500XL,Tripp Lite,Power,219.0
8834003,SMART3000RM2U,Tripp Lite UPS SMART3000RM2U,Tripp Lite,Power,699.0
8061662,PDUMH20,Tripp Lite PDU PDUMH20,Tripp Lite,Power,119.0
8026427,PDU1230,Tripp Lite PDU PDU1230,Tripp Lite,Power,149.0
8030473,PDU3XEVSR6L2130,Tripp Lite PDU PDU3XEVSR6L2130,Tripp Lite,Power,299.0
8026512,GXT5-1000RT120,Vertiv UPS GXT5-1000RT120,Vertiv,Power,799.0
8083820,GXT5-3000RT120,Vertiv UPS GXT5-3000RT120,Vertiv,Power,1599.0
8074022,PS1500RT3-120W,Vertiv Liebert PS1500RT3-120W,Vertiv,Power,999.0
8056156,PX2-4515RINTELLIGENT,Raritan PDU PX2-4515R Intelligent,Raritan,Power,699.0
8037471,AP8941SWITCHED,Schneider PDU AP8941 Switched,Schneider,Power,999.0
8089144,R206-0100501-NBASIC,Geist PDU R206-0100501-N Basic,Geist,Power,99.0
8060032,CYBERFORT1500SMV1500,APC UPS CyberFort 1500 SMV1500CAI,APC,Power,299.0
8004598,BP48V26ART2UEXTBAT,CyberPower UPS BP48V26ART2U Ext Bat,CyberPower,Power,399.0
8093504,EPDUG3METERED,Eaton PDU ePDU G3 Metered,Eaton,Power,549.0
8057150,TLP1008TEL10-OUTLET,Tripp Lite Surge TLP1008TEL 10-outlet,Tripp Lite,Power,29.0
8075010,SURGEARREST12-OUTLET,APC Surge SurgeArrest 12-Outlet,APC,Power,49.0
8065985,TLP74RJ45USB7-OUTLET,Tripp Lite Surge TLP74RJ45USB 7-outlet,Tripp Lite,Power,29.0
8028069,PROTECTNETETHERNET,APC Surge ProtectNet Ethernet,APC,Power,19.0
8078215,RB0690X2AREPL.,CyberPower Battery RB0690X2A Repl.,CyberPower,Power,79.0
8088610,GXT5-2000RT120,Vertiv UPS GXT5-2000RT120,Vertiv,Power,1299.0
8021521,ABCEG2201-22,Powervar UPS ABCEG2201-22,Powervar,Power,1299.0
8051577,SMT750RM2UC,APC UPS SMT750RM2UC,APC,Power,399.0
8073772,SU2200RT2U,Tripp Lite UPS SU2200RT2U,Tripp Lite,Power,599.0
8018531,9PX3000RT,Eaton UPS 9PX3000RT,Eaton,Power,1799.0
8092922,CP1350PFCLCD,CyberPower UPS CP1350PFCLCD,CyberPower,Power,169.0
8074439,BVX1600LI-GR,APC UPS BVX1600LI-GR,APC,Power,199.0
8037049,SMT1500I-6W,APC UPS SMT1500I-6W,APC,Power,699.0
8065203,PDUMHV15,Tripp Lite PDU PDUMHV15,Tripp Lite,Power,299.0
8069423,PDU30SWT16FNET,CyberPower PDU PDU30SWT16FNET,CyberPower,Power,599.0
8048818,PX3-4790VSMART,Raritan PDU PX3-4790V Smart,Raritan,Power,899.0
8025662,VP4-033-5-32A,Geist PDU VP4-033-5-32A,Geist,Power,249.0
8031251,49L2102-00520A,Leviton PDU 49L2102-005 20A,Leviton,Power,119.0
8011351,CW-16VEC1-C20SMART,Server Technology PDU CW-16VEC1-C20 Smart,Server Technology,Power,799.0
8023279,SMX2000LV,APC UPS SMX2000LV,APC,Power,1399.0
8830001,BX700U-LM,APC UPS BX700U-LM,APC,Power,99.0
8830002,BX1000M-LM60,APC UPS BX1000M,APC,Power,149.0
8830003,BX1500M,APC UPS BX1500M,APC,Power,189.0
8830004,BR1500G,APC UPS BR1500G,APC,Power,229.0
